freqs,gain
109.86307170282039,-35.30707461047225
110.2292819418298,-35.37904661221836
110.59549218083919,-35.450862468725624
110.96170241984859,-35.52252217999403
111.327912658858,-35.59402574602358
111.6941228978674,-35.665373166814284
112.0603331368768,-35.73656444236613
112.4265433758862,-35.80759957267912
112.7927536148956,-35.87847855775326
113.15896385390501,-35.949201397588546
113.5251740929144,-36.019768092184975
113.8913843319238,-36.09017864154255
114.25759457093321,-36.16043304566128
114.62380480994261,-36.230531304541145
114.99001504895202,-36.300473418182165
115.35622528796141,-36.37025938658433
115.72243552697081,-36.43988920974764
116.08864576598022,-36.5093628876721
116.45485600498961,-36.5786804203577
116.82106624399901,-36.64784180780445
117.18727648300842,-36.71684705001234
117.55348672201782,-36.78569614698138
117.91969696102723,-36.85438909871157
118.28590720003662,-36.9229259052029
118.65211743904602,-36.991306566455386
119.01832767805543,-37.05953108246901
119.38453791706482,-37.12759945324378
119.75074815607422,-37.1955116787797
120.11695839508363,-37.26326775907677
120.48316863409303,-37.33086769413498
120.84937887310244,-37.39831148395434
121.21558911211183,-37.46559912853485
121.58179935112123,-37.5327306278765
121.94800959013064,-37.59970598197929
122.31421982914003,-37.66652519084324
122.68043006814943,-37.73318825446833
123.04664030715884,-37.79969517285456
123.41285054616824,-37.86604594600195
123.77906078517765,-37.93224057391048
124.14527102418704,-37.99827905658015
124.51148126319644,-38.06416139401097
124.87769150220585,-38.12988758620295
125.24390174121524,-38.19545763315606
125.61011198022464,-38.26087153487032
125.97632221923405,-38.32612929134573
126.34253245824345,-38.391230902582286
126.70874269725286,-38.45617636857998
127.07495293626225,-38.52096568933883
127.44116317527165,-38.585598864858824
127.80737341428106,-38.65007589513996
128.17358365329045,-38.71439678018225
128.53979389229985,-38.77856151998568
128.90600413130926,-38.84257011455026
129.27221437031866,-38.906422563875985
129.63842460932807,-38.97011886796285
130.00463484833747,-39.033659026810874
130.37084508734688,-39.09704304042004
130.73705532635626,-39.16027090879035
131.10326556536566,-39.22334263192181
131.46947580437507,-39.286258209814406
131.83568604338447,-39.34901764246816
132.20189628239388,-39.41162092988306
132.56810652140328,-39.4740680720591
132.93431676041268,-39.53635906899628
133.30052699942206,-39.59849392069462
133.66673723843147,-39.6604726271541
134.03294747744087,-39.72229518837473
134.39915771645028,-39.783961604356506
134.76536795545968,-39.84547187509943
135.13157819446909,-39.90682600060349
135.4977884334785,-39.96802398086871
135.8639986724879,-40.029065815895066
136.2302089114973,-40.08995150568257
136.59641915050668,-40.15068105023122
136.96262938951608,-40.21125444954102
137.3288396285255,-40.271671703611965
137.6950498675349,-40.33193281244406
138.0612601065443,-40.3920377760373
138.4274703455537,-40.451986594391684
138.7936805845631,-40.51177926750721
139.15989082357248,-40.571415795383885
139.5261010625819,-40.630896178021715
139.8923113015913,-40.69022041542068
140.2585215406007,-40.7493885075808
140.6247317796101,-40.808400454502056
140.9909420186195,-40.86725625618447
141.3571522576289,-40.92595591262802
141.72336249663832,-40.98449942383272
142.08957273564772,-41.04288678979857
142.4557829746571,-41.10111801052557
142.8219932136665,-41.15919308601371
143.1882034526759,-41.217112016262995
143.5544136916853,-41.27487480127343
143.92062393069472,-41.332481441045005
144.28683416970412,-41.389931935577735
144.65304440871353,-41.447226284871604
145.0192546477229,-41.504364488926626
145.3854648867323,-41.56134654774279
145.7516751257417,-41.6181724613201
146.11788536475112,-41.67484222965856
146.48409560376052,-41.73135585275816
146.85030584276993,-41.787713330618914
147.21651608177933,-41.84391466324081
147.58272632078874,-41.89995985062385
147.94893655979814,-41.955848892768046
148.31514679880752,-42.01158178967338
148.68135703781692,-42.06715854133986
149.04756727682633,-42.12257914776749
149.41377751583573,-42.177843608956266
149.77998775484514,-42.23295192490619
150.14619799385454,-42.28790409561725
150.51240823286395,-42.342700121089464
150.87861847187332,-42.39734000132283
151.24482871088273,-42.45182373631734
151.61103894989213,-42.50615132607299
151.97724918890154,-42.56032277058979
152.34345942791094,-42.614338069867735
152.70966966692035,-42.66819722390683
153.07587990592975,-42.721900232707064
153.44209014493916,-42.77544709626845
153.80830038394856,-42.82883781459098
154.17451062295794,-42.88207238767466
154.54072086196734,-42.935150815519485
154.90693110097675,-42.988073098125454
155.27314133998615,-43.04083923549257
155.63935157899556,-43.09344922762084
156.00556181800496,-43.145903074510244
156.37177205701437,-43.1982007761608
156.73798229602374,-43.2503423325725
157.10419253503315,-43.30232774374535
157.47040277404255,-43.35415700967935
157.83661301305196,-43.40583013037449
158.20282325206136,-43.45734710583078
158.56903349107077,-43.50870793604821
158.93524373008017,-43.55991262102679
159.30145396908958,-43.61096116076652
159.66766420809898,-43.66185355526739
160.03387444710836,-43.71258980452941
160.40008468611776,-43.76316990855258
160.76629492512717,-43.81359386733689
161.13250516413657,-43.86386168088235
161.49871540314598,-43.91397334918895
161.86492564215538,-43.9639288722567
162.2311358811648,-44.013728250085606
162.59734612017417,-44.06337148267565
162.96355635918357,-44.11285857002684
163.32976659819298,-44.16218951213917
163.69597683720238,-44.21136430901266
164.06218707621179,-44.26038296064729
164.4283973152212,-44.30924546704306
164.7946075542306,-44.35795182819999
165.16081779324,-44.40650204411806
165.5270280322494,-44.454896114797265
165.89323827125878,-44.50313404023763
166.2594485102682,-44.55121582043914
166.6256587492776,-44.59914145540179
166.991868988287,-44.64691094512559
167.3580792272964,-44.69452428961054
167.7242894663058,-44.74198148885663
168.0904997053152,-44.78928254286387
168.4567099443246,-44.83642745163226
168.822920183334,-44.883416215161795
169.1891304223434,-44.93024883345247
169.5553406613528,-44.9769253065043
