freqs,gain
63,50.88662829133287
125,47.09505937121483
250,36.810854500319785
500,36.32443636844829
1000,38.914618969367275
2000,43.59414859016826
4000,45.106810340233636
8000,40.95077896873757
16000,39.17948092785677
