freqs,gain
54.931535851410196,-37.702706088403204
55.297746090419594,-37.664381943422114
55.663956329429,-37.62611491188926
56.0301665684384,-37.58790499380463
56.3963768074478,-37.54975218916823
56.7625870464572,-37.51165649798006
57.128797285466604,-37.47361792024012
57.49500752447601,-37.43563645594841
57.861217763485406,-37.39771210510493
58.227428002494804,-37.359844867709675
58.59363824150421,-37.32203474376266
58.959848480513614,-37.28428173326386
59.32605871952301,-37.2465858362133
59.69226895853241,-37.20894705261097
60.058479197541814,-37.171365382456855
60.42468943655122,-37.13384082575098
60.79089967556062,-37.09637338249334
61.157109914570015,-37.05896305268392
61.52332015357942,-37.02160983632273
61.889530392588824,-36.98431373340978
62.25574063159822,-36.947074743945045
62.62195087060762,-36.90989286792855
62.988161109617025,-36.87276810536028
63.35437134862643,-36.83570045624024
63.72058158763583,-36.79868992056843
64.08679182664523,-36.761736498344845
64.45300206565463,-36.72484018956949
64.81921230466403,-36.68800099424237
65.18542254367344,-36.651218912363476
65.55163278268283,-36.614493943932814
65.91784302169224,-36.577826088950374
66.28405326070164,-36.54121534741617
66.65026349971103,-36.504661719330194
67.01647373872044,-36.46816520469245
67.38268397772984,-36.431725803502935
67.74889421673925,-36.395343515761645
68.11510445574865,-36.35901834146859
68.48131469475804,-36.32275028062376
68.84752493376745,-36.28653933322716
69.21373517277685,-36.25038549927879
69.57994541178624,-36.21428877877865
69.94615565079565,-36.17824917172674
70.31236588980505,-36.14226667812306
70.67857612881446,-36.1063412979676
71.04478636782386,-36.070473031260384
71.41099660683325,-36.03466187800139
71.77720684584266,-35.998907838190625
72.14341708485206,-35.963210911828085
72.50962732386145,-35.92757109891378
72.87583756287086,-35.891988399447705
73.24204780188026,-35.85646281342986
73.60825804088967,-35.820994340860246
73.97446827989907,-35.785582981738855
74.34067851890846,-35.7502287360657
74.70688875791787,-35.71493160384077
75.07309899692727,-35.67969158506407
75.43930923593666,-35.6445086797356
75.80551947494607,-35.60938288785536
76.17172971395547,-35.57431420942335
76.53793995296488,-35.539302644439566
76.90415019197428,-35.50434819290401
77.27036043098367,-35.46945085481669
77.63657066999308,-35.434610630177595
78.00278090900248,-35.39982751898673
78.36899114801187,-35.3651015212441
78.73520138702128,-35.330432636949695
79.10141162603068,-35.29582086610352
79.46762186504009,-35.26126620870557
79.83383210404949,-35.22676866475585
80.20004234305888,-35.19232823425436
80.56625258206829,-35.15794491720111
80.93246282107769,-35.12361871359607
81.29867306008708,-35.089349623439276
81.66488329909649,-35.05513764673071
82.03109353810589,-35.020982783470366
82.3973037771153,-34.986885033658254
82.7635140161247,-34.95284439729437
83.1297242551341,-34.918860874378716
83.4959344941435,-34.8849344649113
83.8621447331529,-34.8510651688921
84.2283549721623,-34.81725298632114
84.5945652111717,-34.7834979171984
84.9607754501811,-34.7497999615239
85.32698568919051,-34.71615911929762
85.69319592819991,-34.682575390519574
86.0594061672093,-34.649048775189755
86.42561640621871,-34.61557927330817
86.79182664522811,-34.58216688487481
87.1580368842375,-34.54881160988968
87.52424712324691,-34.51551344835278
87.89045736225631,-34.48227240026411
88.25666760126572,-34.44908846562367
88.62287784027512,-34.415961644431455
88.98908807928451,-34.38289193668747
89.35529831829392,-34.34987934239172
89.72150855730332,-34.3169238615442
90.08771879631271,-34.284025494144906
90.45392903532212,-34.25118424019384
90.82013927433152,-34.218400099691
91.18634951334093,-34.1856730726364
91.55255975235033,-34.15300315903002
91.91876999135972,-34.12039035887187
92.28498023036913,-34.08783467216196
92.65119046937853,-34.05533609890027
93.01740070838792,-34.022894639086815
93.38361094739733,-33.99051029272158
93.74982118640673,-33.95818305980458
94.11603142541614,-33.92591294033581
94.48224166442554,-33.89369993431527
94.84845190343493,-33.86154404174296
95.21466214244434,-33.829445262618876
95.58087238145374,-33.79740359694302
95.94708262046314,-33.7654190447154
96.31329285947254,-33.733491605936
96.67950309848194,-33.70162128060484
97.04571333749135,-33.669808068721906
97.41192357650075,-33.6380519702872
97.77813381551015,-33.606352985300724
98.14434405451955,-33.574711113762476
98.51055429352895,-33.543126355672456
98.87676453253835,-33.51159871103067
99.24297477154775,-33.48012817983711
99.60918501055716,-33.44871476209178
99.97539524956656,-33.41735845779468
100.34160548857596,-33.38605926694581
100.70781572758536,-33.354817189545166
101.07402596659476,-33.32363222559276
101.44023620560417,-33.292504375088576
101.80644644461356,-33.26143363803262
102.17265668362296,-33.230420014424894
102.53886692263237,-33.1994635042654
102.90507716164177,-33.16856410755414
103.27128740065118,-33.137721824291106
103.63749763966057,-33.10693665447629
104.00370787866997,-33.076208598109716
104.36991811767938,-33.045537655191374
104.73612835668877,-33.014923825721255
105.10233859569817,-32.98436710969936
105.46854883470758,-32.95386750712571
105.83475907371698,-32.92342501800027
106.20096931272639,-32.893039642323075
106.56717955173578,-32.862711380094105
106.93338979074518,-32.83244023131336
107.29960002975459,-32.80222619598085
107.66581026876398,-32.772069274096566
108.03202050777338,-32.74196946566052
108.39823074678279,-32.71192677067269
108.76444098579219,-32.6819411891331
109.1306512248016,-32.65201272104173
109.49686146381099,-32.622141366398594
109.86307170282039,-32.59232712520369
110.2292819418298,-32.56256999745701
110.59549218083919,-32.53286998315856
110.96170241984859,-32.50322708230835
111.327912658858,-32.47364129490636
111.6941228978674,-32.4441126209526
112.0603331368768,-32.41464106044707
112.4265433758862,-32.38522661338977
112.7927536148956,-32.3558692797807
113.15896385390501,-32.32656905961986
113.5251740929144,-32.297325952907244
113.8913843319238,-32.26813995964286
114.25759457093321,-32.23901107982671
114.62380480994261,-32.20993931345878
